"Correlation","Group","Dataset1","Dataset2","SameDataset"
0.058574072761275,"Random shuffle within","Fletcher2019M","Fletcher2019M","TRUE"
0.135472368217974,"Within cluster","Fletcher2019M","Fletcher2019M","TRUE"
0.0248187694153017,"Between clusters","Fletcher2019M","Fletcher2019M","TRUE"
-0.000160116125328609,"Random shuffle","Fletcher2019M","Fletcher2019M","TRUE"
0.093440538780845,"Random shuffle within","Fletcher2019M","Fletcher2019M","TRUE"
0.057989307052349,"Within cluster","Fletcher2019M","Fletcher2019M","TRUE"
0.0173635475821226,"Between clusters","Fletcher2019M","Fletcher2019M","TRUE"
0.000102614128740854,"Random shuffle","Fletcher2019M","Fletcher2019M","TRUE"
0.0353714648792004,"Random shuffle within","Fletcher2019M","Fletcher2019M","TRUE"
0.222486291595337,"Within cluster","Fletcher2019M","Fletcher2019M","TRUE"
-0.000549966533358553,"Between clusters","Fletcher2019M","Fletcher2019M","TRUE"
-0.000307088831635822,"Random shuffle","Fletcher2019M","Fletcher2019M","TRUE"
0.0653750323019568,"Random shuffle within","Fletcher2019M","Fletcher2019M","TRUE"
0.0908967324395914,"Within cluster","Lopez2021M","Fletcher2019M","FALSE"
0.0406934828446183,"Between clusters","Lopez2021M","Fletcher2019M","FALSE"
0.121743624530625,"Within cluster","Lopez2021M","Fletcher2019M","FALSE"
0.066213928909456,"Between clusters","Lopez2021M","Fletcher2019M","FALSE"
0.0721960408666541,"Within cluster","Lopez2021M","Fletcher2019M","FALSE"
0.0413141259369356,"Between clusters","Lopez2021M","Fletcher2019M","FALSE"
0.0217454337519152,"Within cluster","Lopez2021M","Fletcher2019M","FALSE"
-0.00184612472834709,"Between clusters","Lopez2021M","Fletcher2019M","FALSE"
0.0818761402397289,"Within cluster","Mayran2019M","Fletcher2019M","FALSE"
0.0104340616764612,"Between clusters","Mayran2019M","Fletcher2019M","FALSE"
0.046095500320236,"Within cluster","Mayran2019M","Fletcher2019M","FALSE"
0.0176438056452619,"Between clusters","Mayran2019M","Fletcher2019M","FALSE"
0.0439497596954769,"Within cluster","Mayran2019M","Fletcher2019M","FALSE"
0.0122290813119164,"Between clusters","Mayran2019M","Fletcher2019M","FALSE"
0.0323234978328156,"Within cluster","Mayran2019M","Fletcher2019M","FALSE"
0.00165432507106663,"Between clusters","Mayran2019M","Fletcher2019M","FALSE"
0.0641603264750338,"Within cluster","RufZamojski2021M","Fletcher2019M","FALSE"
-0.00261137132921348,"Between clusters","RufZamojski2021M","Fletcher2019M","FALSE"
0.0449322130191875,"Within cluster","RufZamojski2021M","Fletcher2019M","FALSE"
0.0185807376332986,"Between clusters","RufZamojski2021M","Fletcher2019M","FALSE"
0.0551665499777693,"Within cluster","RufZamojski2021M","Fletcher2019M","FALSE"
0.00783260391188807,"Between clusters","RufZamojski2021M","Fletcher2019M","FALSE"
0.0169731103257038,"Within cluster","RufZamojski2021M","Fletcher2019M","FALSE"
0.00407661760168236,"Between clusters","RufZamojski2021M","Fletcher2019M","FALSE"
0.0983624785885267,"Within cluster","Vennekens2021M","Fletcher2019M","FALSE"
0.0108976280635197,"Between clusters","Vennekens2021M","Fletcher2019M","FALSE"
0.0542044913056889,"Within cluster","Vennekens2021M","Fletcher2019M","FALSE"
0.0281324623244565,"Between clusters","Vennekens2021M","Fletcher2019M","FALSE"
0.0404006895342395,"Within cluster","Vennekens2021M","Fletcher2019M","FALSE"
0.0240837531663261,"Between clusters","Vennekens2021M","Fletcher2019M","FALSE"
0.0340401807156034,"Within cluster","Vennekens2021M","Fletcher2019M","FALSE"
0.0156472959863428,"Between clusters","Vennekens2021M","Fletcher2019M","FALSE"
0.0602169740147606,"Within cluster","Cheung2018M","Lopez2021M","FALSE"
0.0021440675050036,"Between clusters","Cheung2018M","Lopez2021M","FALSE"
0.045859269887547,"Within cluster","Cheung2018M","Lopez2021M","FALSE"
0.0266353879816977,"Between clusters","Cheung2018M","Lopez2021M","FALSE"
0.079416741924793,"Within cluster","Cheung2018M","Lopez2021M","FALSE"
-0.0151128338800644,"Between clusters","Cheung2018M","Lopez2021M","FALSE"
0.0481615245394686,"Within cluster","Cheung2018M","Lopez2021M","FALSE"
0.0227220517784492,"Between clusters","Cheung2018M","Lopez2021M","FALSE"
0.0342471013955707,"Within cluster","Cheung2018M","Lopez2021M","FALSE"
0.0248741047261791,"Between clusters","Cheung2018M","Lopez2021M","FALSE"
0.0307561340457203,"Within cluster","Cheung2018M","Lopez2021M","FALSE"
-0.00592176338826923,"Between clusters","Cheung2018M","Lopez2021M","FALSE"
0.0175762135309278,"Within cluster","Fletcher2019M","Lopez2021M","FALSE"
0.0148224379869143,"Between clusters","Fletcher2019M","Lopez2021M","FALSE"
0.0221987840692821,"Within cluster","Fletcher2019M","Lopez2021M","FALSE"
0.0186345784042192,"Between clusters","Fletcher2019M","Lopez2021M","FALSE"
0.0045026972476817,"Within cluster","Fletcher2019M","Lopez2021M","FALSE"
