"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
2.05448672658923e-08,0.295465404725983,0.422,0.232,0.000228109661253202,"2","Banf1"
2.08739851939006e-08,0.27091915009161,1,1,0.000231763857607878,"2","Rps14"
2.47629604853344e-08,0.332457684110761,0.787,0.759,0.000274943150268668,"2","Ndufb7"
2.54727187364975e-08,0.342173295825881,0.566,0.357,0.000282823596131331,"2","Trappc1"
2.65327441884894e-08,0.324661952036312,0.389,0.215,0.000294593058724798,"2","Lsm3"
2.68120089867321e-08,0.330855550045756,0.434,0.25,0.000297693735779686,"2","Comt"
2.90406233676754e-08,0.266422795503072,0.381,0.199,0.0003224380412513,"2","Wtap"
2.95163676595859e-08,0.290439770823782,0.508,0.297,0.000327720230124382,"2","Fundc1"
2.99978766058782e-08,0.288700116638686,0.574,0.348,0.000333066423955065,"2","Ndufs4"
3.01297104795502e-08,0.296980708190511,0.537,0.324,0.000334530175454445,"2","Mrpl20"
3.05731920423642e-08,0.307291671017297,0.5,0.298,0.00033945415124637,"2","Immp1l"
3.06768128064133e-08,0.323353565607751,0.414,0.234,0.000340604652589607,"2","Pcbd1"
3.11657242837776e-08,0.415141025061101,0.648,0.49,0.000346033036722783,"2","Cisd1"
3.2310396976678e-08,0.294627067180812,0.332,0.17,0.000358742337632056,"2","Dmac1"
3.66935277056621e-08,0.261771789231682,0.348,0.177,0.000407408238115967,"2","Rprml"
3.78837042912766e-08,0.291845089047286,0.369,0.194,0.000420622768746044,"2","Yipf3"
4.02811537013862e-08,0.306236259332919,0.967,0.978,0.000447241649546491,"2","Gpx4"
4.43345473467688e-08,0.353489844882521,0.746,0.716,0.000492246479191174,"2","Mien1"
4.79934701412574e-08,0.344452255885157,0.553,0.352,0.000532871498978381,"2","Gtf2h5"
5.02097321422238e-08,0.300219358042441,0.852,0.851,0.000557478655975111,"2","Ndufa5"
5.39056917063078e-08,0.254746622919973,0.324,0.159,0.000598514895015136,"2","Commd9"
5.69221808900142e-08,0.275643963813239,0.291,0.139,0.000632006974421827,"2","Mrpl12"
5.72139881099618e-08,0.274858396115698,0.41,0.228,0.000635246909984906,"2","Timm17a"
5.87226755842899e-08,0.313664621609038,0.811,0.719,0.000651997867012371,"2","Ndufb3"
6.19325688892197e-08,0.368669325771161,0.549,0.374,0.000687637312377006,"2","Uqcrc1"
6.59446989069355e-08,0.352127486966669,0.553,0.366,0.000732183991963705,"2","Taldo1"
7.42273465607026e-08,0.31577715090066,0.668,0.476,0.000824146228863481,"2","Ndufs8"
7.74272011219171e-08,0.254904865467187,0.307,0.153,0.000859674214056645,"2","Ttc33"
7.93789684010639e-08,0.283412076870481,0.553,0.349,0.000881344686157013,"2","Crhr1"
8.16989681686032e-08,0.309455991050272,0.893,0.894,0.000907103643576001,"2","Spcs2"
8.23671735766133e-08,0.338737137248034,0.541,0.349,0.000914522728221138,"2","Lhfpl5"
8.25488251718585e-08,0.295920011643527,0.406,0.226,0.000916539605883144,"2","Bad"
8.33800937759261e-08,0.304679137607039,0.475,0.286,0.000925769181194108,"2","Arl6ip5"
8.39750705833485e-08,0.31644510712159,0.545,0.349,0.000932375208686919,"2","Sdhb"
8.4524059937052e-08,0.293074574328863,0.311,0.157,0.000938470637481088,"2","Emc4"
8.99191866306398e-08,0.288027688269072,0.443,0.251,0.000998372729159994,"2","Mrps26"
9.0718410305757e-08,0.359540357189134,0.607,0.411,0.00100724650962482,"2","Pin1"
9.27212808273324e-08,0.357941348145186,0.529,0.342,0.00102948438102587,"2","Rex1bd"
9.49231497594365e-08,0.279720815811655,0.43,0.247,0.00105393173177902,"2","Tmx2"
9.6670896119039e-08,0.31278785174802,0.48,0.295,0.00107333695960969,"2","Denr"
9.75841252945371e-08,0.325761494336883,0.529,0.337,0.00108347654314525,"2","Pnkd"
1.06591974856368e-07,0.313122788775432,0.885,0.908,0.00118349069683026,"2","Srp14"
1.21223253638313e-07,0.288504164850148,0.418,0.241,0.00134594178514619,"2","Blvrb"
1.25076806681281e-07,0.364565337800955,0.586,0.429,0.00138872778458227,"2","Psmb5"
1.2987002276711e-07,0.332968113037549,0.57,0.379,0.00144194686278322,"2","Naxe"
1.30447717876638e-07,0.327019767233117,0.783,0.719,0.00144836101158431,"2","Ndufb8"
1.35220514293238e-07,0.319561080343446,0.496,0.306,0.00150135337019782,"2","Cfdp1"
1.5446120690117e-07,0.271790055114067,0.951,0.963,0.00171498278022369,"2","Mdh1"
1.55578131766421e-07,0.334327248032647,0.676,0.55,0.00172738399700257,"2","Trappc2l"
1.57492459286237e-07,0.330880429031088,0.611,0.426,0.00174863877545509,"2","Elof1"
1.80634852585735e-07,0.332599248940251,0.627,0.436,0.00200558876825941,"2","Mpc2"
1.90678706219203e-07,0.346922574803034,0.598,0.425,0.00211710567515181,"2","Ap2s1"
1.90974874118819e-07,0.327871386979999,0.82,0.822,0.00212039402734125,"2","Cox7b"
1.97682170351409e-07,0.363306660306655,0.725,0.639,0.00219486513741169,"2","Tmem256"
1.98233283466577e-07,0.335971438075501,0.414,0.25,0.0022009841463294,"2","Glo1"
2.13043144061097e-07,0.373220232161631,0.594,0.441,0.00236541802851036,"2","Cisd3"
2.2221557949576e-07,0.340257741307233,0.623,0.44,0.00246725957914142,"2","Tusc3"
2.37634976526215e-07,0.279733072630928,0.496,0.301,0.00263846114437057,"2","Psmc2"
2.41241979676613e-07,0.253710912067216,0.352,0.188,0.00267850970034943,"2","B9d1"
2.68867735949722e-07,0.33279690750014,0.693,0.497,0.00298523847224976,"2","Pigp"
2.85701831434272e-07,0.321064670933834,0.631,0.426,0.00317214743441472,"2","Ppdpf"
2.86132491580126e-07,0.318070603251655,0.84,0.85,0.00317692905401414,"2","Cnpy2"
2.95063003447331e-07,0.306255284378695,0.557,0.368,0.00327608452727572,"2","Ppp1r2"
2.95810054857346e-07,0.303211592164937,0.578,0.383,0.00328437903908111,"2","Efemp1"
2.95889283053185e-07,0.288538818034287,0.787,0.68,0.00328525870973951,"2","Cuta"
3.19467665532637e-07,0.324991357029155,0.566,0.383,0.00354704949040887,"2","Snrpe"
3.24169840121722e-07,0.287552844179904,0.414,0.243,0.00359925773487148,"2","Ssna1"
3.33998852929885e-07,0.293461028596845,0.816,0.778,0.00370838926408051,"2","Sptssa"
3.34396036805562e-07,0.345101915674758,0.643,0.457,0.00371279919665216,"2","Fkbp3"
3.48765204830803e-07,0.267511343154982,0.357,0.196,0.00387234006923641,"2","Mrpl55"
3.65044634374638e-07,0.301954362080201,0.754,0.692,0.00405309057546161,"2","Psma2"
3.70042957061699e-07,0.360261652631045,0.734,0.625,0.00410858695225604,"2","Rtn4"
3.72734723947583e-07,0.33057120780709,0.426,0.257,0.00413847363999002,"2","Six6"
3.91380751894044e-07,0.327476747951838,0.529,0.35,0.00434550048827957,"2","Lsm4"
3.95559725696744e-07,0.305755280818416,0.471,0.294,0.00439189963441094,"2","Snrpd3"
3.9937938314648e-07,0.256705425137456,0.369,0.206,0.00443430929107537,"2","Cuedc2"
