"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
"Cd633",4.44764578293646e-12,0.328190562503474,0.936,0.497,4.93822111279436e-08,"6","Cd63"
"Ndufa1",2.43109978920483e-06,0.371032537379482,0.95,0.74,0.0269925009595412,"6","Ndufa1"
"Rpl18a1",2.8732191646504e-06,0.369299788559069,0.979,0.941,0.0319013523851134,"6","Rpl18a"
"Rps15a2",4.28942263543117e-06,0.328945854610674,1,0.967,0.0476254595211923,"6","Rps15a"
"Npm11",4.35124884962614e-06,0.332202345198835,1,0.965,0.048311915977399,"6","Npm1"
"Rnf182",5.3194912561083e-59,0.295545624016294,0.231,0.003,5.90623114165704e-55,"7","Rnf182"
"Isl1",3.10925793574624e-34,0.516240963618702,0.385,0.02,3.45220908605905e-30,"7","Isl1"
"Dio2",1.23521902395048e-29,0.523565734491397,0.308,0.015,1.37146368229222e-25,"7","Dio2"
"Emb",9.40696069184545e-29,0.812286093683884,0.577,0.057,1.0444548456156e-24,"7","Emb"
"Gnrhr",2.50149687037039e-26,0.642256681527513,0.231,0.009,2.77741197517225e-22,"7","Gnrhr"
"Lzts1",2.17381295135482e-24,0.284704676909429,0.231,0.01,2.41358451988925e-20,"7","Lzts1"
"Ddah1",9.18795092386263e-24,0.571258441694906,0.385,0.03,1.02013819107647e-19,"7","Ddah1"
"Cga1",1.7712791032471e-21,5.94292849588471,1,0.486,1.96665118833526e-17,"7","Cga"
"Wfdc2",1.86069467907569e-20,0.677487260111658,0.462,0.051,2.06592930217774e-16,"7","Wfdc2"
"Klhl3",5.13951919731048e-17,0.319467574284004,0.231,0.015,5.70640816477383e-13,"7","Klhl3"
"Chga1",7.28715539562394e-14,2.21278799554857,0.923,0.35,8.09092863576127e-10,"7","Chga"
"Id3",2.72747552167309e-13,0.582953775327281,0.231,0.02,3.02831607171364e-09,"7","Id3"
"Espn",3.55113947764188e-13,0.623305979217029,0.423,0.065,3.94283016202578e-09,"7","Espn"
"Cdkn1c",6.98890289018465e-13,0.362616963515837,0.308,0.035,7.75977887897202e-09,"7","Cdkn1c"
"Ar",8.66505939429924e-13,0.710475222562816,0.385,0.056,9.62081544549045e-09,"7","Ar"
"Tspan2",1.3273797355084e-12,0.775827109743673,0.731,0.194,1.47378972033498e-08,"7","Tspan2"
"Unc5c",5.70955190599542e-12,0.294834231636788,0.269,0.029,6.33931548122671e-08,"7","Unc5c"
"Rnf126",5.7428050376965e-12,0.556568712176022,0.462,0.084,6.37623643335443e-08,"7","Rnf126"
"Mgat1",1.34872044496733e-10,0.350598987582914,0.346,0.053,1.49748431004722e-06,"7","Mgat1"
"Rrp36",2.47589152591096e-10,0.292615553704876,0.269,0.034,2.74898236121894e-06,"7","Rrp36"
"Ppp2r2b",3.22635484364969e-10,0.34513731219062,0.231,0.026,3.58222178290426e-06,"7","Ppp2r2b"
"Ecel1",6.36529661458178e-10,0.379168139779684,0.231,0.027,7.06738883117015e-06,"7","Ecel1"
"Ppp1r14a",6.57719450296024e-10,0.258232465548238,0.231,0.027,7.30265905663675e-06,"7","Ppp1r14a"
"Cfap126",7.00984150579198e-10,0.304301864801798,0.231,0.027,7.78302702388084e-06,"7","Cfap126"
"Gaa",7.38206855377617e-10,0.681790637994642,0.5,0.117,8.19631071525768e-06,"7","Gaa"
"Zfp142",1.4085352024969e-09,0.432946989572267,0.308,0.049,1.56389663533231e-05,"7","Zfp142"
"Setd1b",1.92820258330027e-09,0.448608077024714,0.423,0.086,2.14088332823828e-05,"7","Setd1b"
"Plekha3",2.03276068767674e-09,0.376627166350468,0.346,0.06,2.25697419152749e-05,"7","Plekha3"
"Lrrc8d",2.83001110483704e-09,0.562101696108097,0.346,0.063,3.14216132970057e-05,"7","Lrrc8d"
"Dcakd",3.40587360687161e-09,0.357901026773993,0.385,0.073,3.78154146570955e-05,"7","Dcakd"
"Sdc4",4.21453371615553e-09,0.653031034205805,0.269,0.041,4.67939678504748e-05,"7","Sdc4"
"Ccdc28a",6.56655902371635e-09,0.543969584796767,0.577,0.162,7.29085048403226e-05,"7","Ccdc28a"
"Laptm4b",6.70179859996622e-09,0.353124765149051,0.385,0.075,7.44100698554249e-05,"7","Laptm4b"
"Rogdi",6.98228117700954e-09,0.465400782599954,0.5,0.122,7.75242679083369e-05,"7","Rogdi"
"Ptcd2",9.35947133770949e-09,0.354184790943169,0.385,0.076,0.000103918210262588,"7","Ptcd2"
"Mccc1",1.0582050706565e-08,0.351687403357578,0.308,0.052,0.000117492508994991,"7","Mccc1"
