"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
"Rps27a",7.77226619725327e-07,0.386756939836213,1,0.993,0.00862954715881031,"2","Rps27a"
"Map2k2",7.8251817813816e-07,0.433544536680983,0.711,0.387,0.00868829933186799,"2","Map2k2"
"Ncbp2",7.95327144884245e-07,0.357167138949988,0.627,0.306,0.00883051728964977,"2","Ncbp2"
"Tomm7",8.03406212288067e-07,0.401123058988606,0.952,0.801,0.0089202191750344,"2","Tomm7"
"Cstb",8.08873234293289e-07,0.629107098005674,0.723,0.443,0.00898091952035839,"2","Cstb"
"Ndufb10",8.14113497585638e-07,0.402870749131843,0.928,0.605,0.00903910216369334,"2","Ndufb10"
"Polr2j",8.26168899690466e-07,0.402668941848426,0.675,0.354,0.00917295329326324,"2","Polr2j"
"Gin1",8.39148592375199e-07,0.30435044050654,0.361,0.122,0.00931706682114184,"2","Gin1"
"Arpc3",8.59025005746049e-07,0.455977293229445,0.819,0.494,0.00953775463879839,"2","Arpc3"
"Wdr61",8.7913696261254e-07,0.402033433356227,0.602,0.31,0.00976105769588703,"2","Wdr61"
"Slirp",8.85949669054584e-07,0.388128799169921,0.795,0.469,0.00983669917551305,"2","Slirp"
"Tpt1",8.8847102535256e-07,0.388988658618495,1,0.982,0.00986469379448947,"2","Tpt1"
"Ncl",9.01957219874076e-07,0.448191312645385,0.843,0.502,0.0100144310122619,"2","Ncl"
"Psmb4",9.09875108070461e-07,0.411386585466978,0.783,0.432,0.0101023433249063,"2","Psmb4"
"Vapb",9.40432719889737e-07,0.424301530862825,0.59,0.295,0.0104416244889357,"2","Vapb"
"Sf3b6",9.41104477827925e-07,0.461199381964362,0.807,0.491,0.0104490830173234,"2","Sf3b6"
"Mcee",9.44001179056002e-07,0.325773325956825,0.663,0.317,0.0104812450910588,"2","Mcee"
"Wbp11",9.47843854602536e-07,0.329353126807563,0.639,0.299,0.010523910317652,"2","Wbp11"
"Rps16",9.56802003494883e-07,0.385529613816143,1,0.982,0.0106233726448037,"2","Rps16"
"Magoh",9.99285616335632e-07,0.439629299141961,0.602,0.288,0.0110950681981745,"2","Magoh"
"Ndufv2",1.02988261740137e-06,0.446400257119397,0.783,0.465,0.0114347867010074,"2","Ndufv2"
"Ndufa6",1.03130844599574e-06,0.450928875214216,0.952,0.863,0.0114506176758906,"2","Ndufa6"
"Mdh1",1.06386307612858e-06,0.354758594545831,1,0.967,0.0118120717342556,"2","Mdh1"
"Hsp90aa1",1.0659680757675e-06,0.433680032810774,0.988,0.897,0.0118354435452465,"2","Hsp90aa1"
"Pdcd6",1.06647352864406e-06,0.450769856747161,0.795,0.48,0.011841055588535,"2","Pdcd6"
"Immp1l",1.10308460712615e-06,0.373279426063293,0.699,0.362,0.0122475483929217,"2","Immp1l"
"Snx3",1.12286511205508e-06,0.445888774545084,0.723,0.41,0.0124671713391476,"2","Snx3"
