"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
"Hspb11",3.91995112580835e-12,1.32553372097007,0.584,0.499,4.35232173498501e-08,"3","Hspb1"
"Pim1",4.76840113670562e-12,0.256289852310039,0.299,0.15,5.29435578208425e-08,"3","Pim1"
"Pdcd7",5.67631482180899e-12,0.32990795703825,0.323,0.174,6.30241234665452e-08,"3","Pdcd7"
"Tmem198",5.68227020149331e-12,0.256395080293804,0.222,0.098,6.30902460471802e-08,"3","Tmem198"
"Gadd45b1",1.38271198995003e-11,0.474006437274116,0.293,0.148,1.53522512244152e-07,"3","Gadd45b"
"Creg11",1.81193907269925e-11,0.252579529208038,0.796,0.574,2.01179595241798e-07,"3","Creg1"
"Pnrc1",2.05924200417457e-11,0.292038110622137,0.913,0.881,2.28637639723502e-07,"3","Pnrc1"
"Filip1",3.14030231760136e-11,0.430897852326435,0.246,0.117,3.48667766323279e-07,"3","Filip1"
"Tppp3",9.14590461595733e-11,0.270379915918984,0.389,0.23,1.01546978950974e-06,"3","Tppp3"
"Tnni31",1.48690098330973e-10,0.25989311004758,0.281,0.141,1.65090616176879e-06,"3","Tnni3"
"Hnrnpab",1.86398831485982e-10,0.312595348365606,0.431,0.262,2.06958622598886e-06,"3","Hnrnpab"
"Cited2",2.10041130941791e-10,0.409308217754699,0.251,0.123,2.3320866768467e-06,"3","Cited2"
"Tm2d21",2.19041134670012e-10,0.288556519277444,0.695,0.524,2.43201371824114e-06,"3","Tm2d2"
"Six3",3.30051211623262e-10,0.274971565373805,0.371,0.215,3.66455860265308e-06,"3","Six3"
"Wrap731",5.26163157468727e-10,0.250332895892322,0.44,0.278,5.84198953737528e-06,"3","Wrap73"
"Ilf2",7.73808133760179e-09,0.262927325503365,0.374,0.224,8.59159170913926e-05,"3","Ilf2"
"Nr4a2",1.52564689142604e-08,0.264044705041033,0.485,0.323,0.000169392574355033,"3","Nr4a2"
"Gem1",1.85153711609308e-07,0.578754490481564,0.243,0.14,0.00205576165999814,"3","Gem"
"Hspe11",1.85343766325043e-06,0.388432306710971,0.826,0.839,0.0205787183750696,"3","Hspe1"
"Pcsk1n2",1.50754781186829e-29,0.461759505739546,1,0.998,1.67383033551736e-25,"4","Pcsk1n"
"Pomc1",3.33401588360837e-27,1.26631710947616,1,0.999,3.70175783557038e-23,"4","Pomc"
"Resp181",4.97569512896781e-27,0.765103862664958,0.938,0.897,5.52451430169296e-23,"4","Resp18"
"Rpl61",7.1703623181817e-26,0.348353100771376,1,0.998,7.96125328187714e-22,"4","Rpl6"
"Timm17b1",1.02344651953371e-25,0.41139595223747,0.743,0.408,1.13633267063828e-21,"4","Timm17b"
"Phb21",1.85525582821668e-25,0.344081575675434,0.627,0.296,2.05989054606897e-21,"4","Phb2"
"Taf10",1.1101916731053e-23,0.396516680292479,0.725,0.401,1.23264581464881e-19,"4","Taf10"
"Nkiras1",2.9514530187931e-23,0.329697265572787,0.518,0.236,3.27699828676598e-19,"4","Nkiras1"
"Cbx1",3.49417070934532e-22,0.348447014797566,0.688,0.37,3.87957773858611e-18,"4","Cbx1"
"Rps201",2.09484797316032e-21,0.348504146951945,1,0.993,2.3259097045999e-17,"4","Rps20"
"Acot13",3.70884792447902e-21,0.295670818167098,0.431,0.184,4.11793385054906e-17,"4","Acot13"
"Coq2",4.84241153177594e-21,0.296299685866345,0.543,0.26,5.37652952373082e-17,"4","Coq2"
"Eef1akmt1",9.53331604390477e-21,0.299131057088689,0.525,0.245,1.05848408035475e-16,"4","Eef1akmt1"
"Rps21",9.74403566235909e-21,0.327805585985828,1,0.996,1.08188027959173e-16,"4","Rps2"
"Rpsa1",1.55911691732055e-20,0.337768122243231,1,0.995,1.731087513301e-16,"4","Rpsa"
"Gapdh2",1.73302102983469e-20,0.366649050765078,0.993,0.976,1.92417324942545e-16,"4","Gapdh"
"Rraga",2.26416336723001e-20,0.315204980660903,0.685,0.37,2.51390058663548e-16,"4","Rraga"
"Mrpl17",2.29347394031429e-20,0.342441907374616,0.844,0.561,2.54644411593096e-16,"4","Mrpl17"
"Rpl7a1",1.02502989245758e-19,0.327000019813363,0.975,0.902,1.13809068959565e-15,"4","Rpl7a"
"Ptprn",1.14008554906298e-19,0.393713576729656,0.623,0.335,1.26583698512462e-15,"4","Ptprn"
"Acot7",1.22789249936187e-19,0.287320440475393,0.489,0.229,1.36332904204148e-15,"4","Acot7"
"Lysmd21",1.31427093502199e-19,0.319279825295155,0.525,0.263,1.45923501915491e-15,"4","Lysmd2"
"Rab3a1",1.61655617248285e-19,0.355698481592904,0.707,0.414,1.79486231830771e-15,"4","Rab3a"
"Dnajc19",1.81170287464474e-19,0.336028572624795,0.75,0.443,2.01153370171805e-15,"4","Dnajc19"
"Hpcal1",2.31056866398315e-19,0.284742502363494,0.344,0.135,2.56542438762049e-15,"4","Hpcal1"
"Rnf187",2.64584403356812e-19,0.291978920916315,0.449,0.206,2.93768063047068e-15,"4","Rnf187"
"Ndufv21",4.02231852026709e-19,0.260589161223062,0.739,0.394,4.46598025305255e-15,"4","Ndufv2"
"Fth11",4.91262099918658e-19,0.310229924766334,1,0.999,5.45448309539687e-15,"4","Fth1"
"Gstp1",6.95805333217881e-19,0.273092374577518,0.529,0.256,7.72552661471813e-15,"4","Gstp1"
"Rex1bd",7.45330702139908e-19,0.297012098713713,0.754,0.43,8.2754067858594e-15,"4","Rex1bd"
"Guk1",8.20663668630263e-19,0.322534173317233,0.75,0.423,9.11182871280182e-15,"4","Guk1"
