"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
"Bet1l",1.37740082722665e-07,0.334784957503091,0.619,0.38,0.00152932813846975,"0","Bet1l"
"Pitx1",1.43964547525954e-07,0.395754685918412,0.682,0.459,0.00159843837118066,"0","Pitx1"
"Eci1",1.56702034816955e-07,0.296438517128802,0.551,0.303,0.00173986269257265,"0","Eci1"
"Gdi1",1.69290808318459e-07,0.377841364343884,0.818,0.596,0.00187963584475985,"0","Gdi1"
"Hmox2",1.89516894774802e-07,0.343778717476746,0.545,0.32,0.00210420608268463,"0","Hmox2"
"Wbp2",1.92027817038313e-07,0.378196314534107,0.693,0.478,0.00213208485257639,"0","Wbp2"
"Maged2",2.03484119114878e-07,0.335904592817669,0.761,0.53,0.00225928417453249,"0","Maged2"
"Sdha",2.04985097705215e-07,0.357622774571589,0.875,0.653,0.002275949539821,"0","Sdha"
"Tuba4a",2.05317920787173e-07,0.521560489705285,0.523,0.314,0.00227964487449999,"0","Tuba4a"
"Hadhb",2.11232160095168e-07,0.384128644743806,0.665,0.451,0.00234531067353665,"0","Hadhb"
"Klf13",2.12954873357983e-07,0.398085711038465,0.773,0.546,0.00236443795889369,"0","Klf13"
"Khdrbs1",2.25043520456893e-07,0.32486215082244,0.534,0.314,0.00249865820763288,"0","Khdrbs1"
"Nap1l5",2.46283177946528e-07,0.435730078430227,0.96,0.921,0.00273448212474031,"0","Nap1l5"
"Ube2g2",2.56103395420871e-07,0.268341210904961,0.415,0.197,0.00284351599935793,"0","Ube2g2"
"Dek",3.03148975261677e-07,0.278660640983193,0.551,0.317,0.0033658630723304,"0","Dek"
"Arpc5",3.1839177071654e-07,0.36164513827026,0.551,0.336,0.00353510383026575,"0","Arpc5"
"Tpm3",3.18439992054525e-07,0.361344396297464,0.636,0.407,0.0035356392317814,"0","Tpm3"
"Uchl1",3.18550768905769e-07,0.401258221397333,0.818,0.607,0.00353686918716076,"0","Uchl1"
"Jmjd6",3.36858479936293e-07,0.284220166325094,0.369,0.169,0.00374013970273267,"0","Jmjd6"
"Arhgdia",3.48645108180362e-07,0.309439302533481,0.71,0.464,0.00387100663612656,"0","Arhgdia"
"Prnp",3.52788964979707e-07,0.347215371200945,0.949,0.896,0.00391701587816969,"0","Prnp"
"Coq5",3.58850464810194e-07,0.293213396611878,0.426,0.213,0.00398431671078759,"0","Coq5"
"Hikeshi",3.86595477440199e-07,0.295699726177117,0.477,0.265,0.00429236958601853,"0","Hikeshi"
