Pou1f1
Ptn
Emb
S100a10
Dapl1
Dlk1
Copz2
Htatsf1
Ctsz
S100a11
Bmyc
Fkbp11
Pam
P4hb
Igfbp5
Ifitm3
Mt3
Apoe
Penk
Timp1
Anxa2
Ctsh
Mgp
Sparc
Vim
Cd9
S100a16
Cga
Ifitm2
Mest
Ldha
Chga
S100a1
Ftl1
Rbp4
Klf6
Glul
Pomc
Cpe
Ascl1
Rps18
Eef1b2
Gap43
Cd63
Esm1
Crtac1
Gnas
Nmb
Prl
B2m
Itm2b
Chgb
Hspa5
Itm2c
Resp18
Crem
Clu
Rps24
Rpl9
Rps27
Rps11
Tmsb10
Rpl8
Rps5
Fau
Rpl18
Rpl19
Btf3
Tent5a
