"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
"Kdelr31",1.06354526267027e-07,0.274626204179993,0.244,0.056,0.0011808543051428,"7","Kdelr3"
"Tmem176b1",1.08813023361667e-07,0.555704735454579,0.933,0.63,0.00120815099838459,"7","Tmem176b"
"Slu7",1.10698449491611e-07,0.357205675664853,0.378,0.119,0.00122908488470536,"7","Slu7"
"Hsdl2",1.32703357678842e-07,0.285856429357689,0.378,0.115,0.00147340538030818,"7","Hsdl2"
"Syngr2",1.34754468761084e-07,0.341911013615147,0.378,0.118,0.00149617886665431,"7","Syngr2"
"Fdx1",1.35291067848155e-07,0.461140743106916,0.622,0.272,0.00150213672631806,"7","Fdx1"
"Ptpn2",1.3854651544199e-07,0.397506852638848,0.489,0.184,0.00153828196095242,"7","Ptpn2"
"Calml42",1.39290940363883e-07,0.650570399447424,0.622,0.279,0.00154654731086019,"7","Calml4"
"Hbs1l",1.39767422252197e-07,0.360929615504375,0.467,0.167,0.00155183768926615,"7","Hbs1l"
"Anxa6",1.49219480656781e-07,0.470610413541806,0.8,0.405,0.00165678389373224,"7","Anxa6"
"Eif1",1.54962074668645e-07,0.479362666116347,1,0.995,0.00172054391504596,"7","Eif1"
"Arpc5",1.56426991016659e-07,0.435671354772139,0.578,0.241,0.00173680888125796,"7","Arpc5"
"Ap3s2",1.73518059423406e-07,0.456482580590444,0.711,0.353,0.00192657101377808,"7","Ap3s2"
"Hddc3",1.77098313096539e-07,0.312585692293203,0.511,0.186,0.00196632257031087,"7","Hddc3"
"Ywhae",1.77702450980675e-07,0.443165807952041,1,0.944,0.00197303031323843,"7","Ywhae"
"Nudt19",1.89635756414158e-07,0.360668047179096,0.422,0.145,0.0021055258034664,"7","Nudt19"
"Gbp2",1.90133086549137e-07,0.349760589384405,0.333,0.099,0.00211104765995507,"7","Gbp2"
"Serpinb6a",1.90149338175636e-07,0.515089516850703,0.8,0.479,0.00211122810176409,"7","Serpinb6a"
"Eef1a1",2.07679193504728e-07,0.60715500534849,1,0.956,0.00230586208548299,"7","Eef1a1"
"Ddit41",2.15055845840316e-07,0.514402358829927,0.667,0.298,0.00238776505636503,"7","Ddit4"
"Gpc1",2.23580189696434e-07,0.261626517921649,0.311,0.086,0.0024824108461995,"7","Gpc1"
"Rps26",2.2547229949444e-07,0.449498086982865,1,0.999,0.00250341894128676,"7","Rps2"
"Vps25",2.35781284513002e-07,0.498558335161959,0.644,0.307,0.00261787960194786,"7","Vps25"
"Ywhaq",2.42574357375996e-07,0.529746212915226,1,0.797,0.00269330308994568,"7","Ywhaq"
"Psmf11",2.52679724331383e-07,0.424184169992919,0.6,0.267,0.00280550297925134,"7","Psmf1"
"Ilk",2.58552846024129e-07,0.403331769288496,0.6,0.259,0.00287071224940591,"7","Ilk"
"Rbm17",2.6334496598505e-07,0.377821274081148,0.489,0.187,0.00292391915733201,"7","Rbm17"
"Rnf13",2.65689578668634e-07,0.380954368849729,0.533,0.211,0.00294995139195784,"7","Rnf13"
"Atf41",2.66329637618111e-07,0.632486689800058,0.933,0.713,0.00295705796647389,"7","Atf4"
"Brd2",2.69878593831446e-07,0.4614602460042,0.644,0.303,0.00299646202731054,"7","Brd2"
"Rpl61",2.80878119762398e-07,0.47529842889285,1,0.979,0.0031185897637219,"7","Rpl6"
"Sgta",2.92717533214642e-07,0.364860940361384,0.578,0.239,0.00325004277128216,"7","Sgta"
"Cct4",2.97600188844136e-07,0.551057751308902,0.778,0.457,0.00330425489673644,"7","Cct4"
"Acp1",3.10976527039176e-07,0.417941266080346,0.622,0.284,0.00345277237971597,"7","Acp1"
"Mcrs1",3.12630834891754e-07,0.306345266517862,0.467,0.167,0.00347114015980314,"7","Mcrs1"
"Nhp2",3.19536272313135e-07,0.424549526225014,0.644,0.299,0.00354781123149273,"7","Nhp2"
"Vcl",3.40588253270417e-07,0.25515758045335,0.244,0.059,0.00378155137606144,"7","Vcl"
"Bin1",3.90992405271003e-07,0.340862162212433,0.378,0.124,0.00434118867572395,"7","Bin1"
"Trim27",4.09003560549207e-07,0.402023709957877,0.511,0.203,0.00454116653277784,"7","Trim27"
"Mapre1",4.27237616383344e-07,0.433050851316593,0.644,0.301,0.00474361925470427,"7","Mapre1"
"Shc1",4.27250267677898e-07,0.25835014624653,0.311,0.088,0.0047437597220277,"7","Shc1"
"Pfkl",4.3269298095739e-07,0.361699648968413,0.4,0.136,0.0048041901675699,"7","Pfkl"
"Vapb",4.39686007339499e-07,0.35963718251152,0.4,0.138,0.00488183373949045,"7","Vapb"
"Ppil3",4.55291897618036e-07,0.277287179982111,0.356,0.111,0.00505510593925305,"7","Ppil3"
"Sec63",4.55559959935709e-07,0.444546073238797,0.6,0.271,0.00505808223516617,"7","Sec63"
"Mgst3",4.62492786409334e-07,0.445551085498798,0.556,0.245,0.00513505740750283,"7","Mgst3"
"Ergic3",4.69381866307353e-07,0.455959309026963,0.644,0.31,0.00521154686161054,"7","Ergic3"
"Ext1",5.21294627275653e-07,0.278784639382007,0.311,0.09,0.00578793424664157,"7","Ext1"
"Hspb6",5.33532449496876e-07,0.491042910252533,0.356,0.12,0.00592381078676381,"7","Hspb6"
"Anapc5",5.34735122690473e-07,0.395676957494987,0.533,0.224,0.00593716406723232,"7","Anapc5"
"Ckap41",5.59181504838282e-07,0.313783931298008,0.378,0.123,0.00620859224821944,"7","Ckap4"
"Tmem2561",5.66276025973259e-07,0.303421278810649,0.333,0.102,0.0062873627163811,"7","Tmem256"
"Prdx1",6.07218897600797e-07,0.591296274445984,0.956,0.792,0.00674195142006165,"7","Prdx1"
"Sf1",6.17839616268114e-07,0.396270182727579,0.511,0.207,0.00685987325942486,"7","Sf1"
"Lsm3",6.2140274456742e-07,0.420401547227479,0.711,0.349,0.00689943467293206,"7","Lsm3"
"Dctn6",6.25168445989437e-07,0.581948204080442,0.644,0.324,0.00694124525582072,"7","Dctn6"
"Pole4",6.36576987874912e-07,0.338076530255495,0.489,0.189,0.00706791429637514,"7","Pole4"
"Cox19",6.55896070409721e-07,0.383302644812077,0.489,0.196,0.00728241406975913,"7","Cox19"
"Synj2bp",6.60163911245942e-07,0.30337107453939,0.4,0.136,0.0073297999065637,"7","Synj2bp"
"Prpf39",6.62975237780834e-07,0.264170833652216,0.333,0.101,0.0073610140650806,"7","Prpf39"
"Gpalpp1",6.71716041454567e-07,0.252343662961136,0.244,0.061,0.00745806320827006,"7","Gpalpp1"
"Ap3m2",6.71999249846934e-07,0.270071862262761,0.378,0.122,0.00746120767105051,"7","Ap3m2"
"Nnat2",6.9098274426341e-07,0.374959586913476,0.911,0.555,0.00767198140955664,"7","Nnat"
