Pou1f1
Ptn
Emb
S100a10
Dapl1
Dlk1
Copz2
Htatsf1
Ctsz
S100a11
Bmyc
Fkbp11
Pam
P4hb
Cga
Prl
B2m
Itm2b
Chgb
Hspa5
Itm2c
Tent5a
Mest
Clu
