"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
"Rnf145",4.73489303222495e-10,0.289479746361665,0.587,0.384,5.25715173367936e-06,"0","Rnf145"
"Arhgdia",5.22134946593568e-10,0.307973395301323,0.919,0.785,5.79726431202839e-06,"0","Arhgdia"
"Nrxn1",5.62692002453032e-10,0.250560217122964,0.368,0.173,6.24756930323602e-06,"0","Nrxn1"
"Chrna1",5.67081813374714e-10,0.389208128146673,0.572,0.386,6.29630937389945e-06,"0","Chrna1"
"Scfd1",5.90363996092782e-10,0.260236825827578,0.575,0.341,6.55481144861816e-06,"0","Scfd1"
"Sms",7.08148961599641e-10,0.318929218919415,0.796,0.61,7.86257792064081e-06,"0","Sms"
"Npc2",7.5322828334532e-10,0.296160474422258,0.677,0.47,8.36309362998309e-06,"0","Npc2"
"Pkm",8.02578923759413e-10,0.30135821043278,0.967,0.889,8.91103379050076e-06,"0","Pkm"
"Tmem140",8.08546608699709e-10,0.367635714540581,0.503,0.304,8.97729299639287e-06,"0","Tmem140"
"Cdkn2d",9.12710925286565e-10,0.252124942474134,0.575,0.357,1.01338294034567e-05,"0","Cdkn2d"
"Coa3",9.51636623242216e-10,0.258252364385191,0.725,0.503,1.05660214278583e-05,"0","Coa3"
"Ckmt1",1.08200457961663e-09,0.29838387349802,0.754,0.565,1.20134968474834e-05,"0","Ckmt1"
"Mrps14",1.1313533413093e-09,0.28501511219361,0.832,0.663,1.25614161485571e-05,"0","Mrps14"
"Abcf1",1.25035686647154e-09,0.250746235308749,0.476,0.259,1.38827122884336e-05,"0","Abcf1"
"Mycbp",1.33866628931386e-09,0.256111589457878,0.578,0.35,1.48632118102518e-05,"0","Mycbp"
"Akr1a1",1.55202573762965e-09,0.252621322742569,0.997,0.973,1.7232141764902e-05,"0","Akr1a1"
"Tbcc",1.55492775068615e-09,0.277948810059519,0.527,0.31,1.72643628158683e-05,"0","Tbcc"
"Tmem109",1.58503214776539e-09,0.292373222810554,0.781,0.548,1.75986119366391e-05,"0","Tmem109"
"Ap3s1",1.63820656361064e-09,0.278148572385529,0.608,0.399,1.8189007475769e-05,"0","Ap3s1"
"Gprasp1",1.6979674883447e-09,0.265334693467257,0.545,0.322,1.88525330230912e-05,"0","Gprasp1"
"Nr4a1",1.70784957168561e-09,0.619826553171055,0.428,0.251,1.89622537944253e-05,"0","Nr4a1"
"Ccnl1",1.89094760349061e-09,0.252527298854661,0.344,0.16,2.09951912415563e-05,"0","Ccnl1"
"Laptm4a",1.89884375257113e-09,0.25233328152532,0.997,0.978,2.10828621847973e-05,"0","Laptm4a"
"Actr2",2.02837903633819e-09,0.270904900058905,0.584,0.364,2.2521092440463e-05,"0","Actr2"
"Vamp7",2.06825977795794e-09,0.267941598834668,0.542,0.33,2.2963888314667e-05,"0","Vamp7"
"Ifi44",2.12387454302211e-09,0.284682838779528,0.653,0.426,2.35813790511745e-05,"0","Ifi44"
"Tmed4",2.15844483022754e-09,0.271528260784717,0.793,0.59,2.39652129500164e-05,"0","Tmed4"
"Kcnip2",2.17640604128892e-09,0.263354329339016,0.781,0.605,2.41646362764309e-05,"0","Kcnip2"
"Naga",2.21827577694896e-09,0.269393245820357,0.482,0.282,2.46295159514643e-05,"0","Naga"
"Pxylp1",2.24881665124203e-09,0.275054057352342,0.425,0.228,2.49686112787403e-05,"0","Pxylp1"
"Prr15l",2.32010615332344e-09,0.304346666784428,0.704,0.532,2.57601386203501e-05,"0","Prr15l"
"Azin1",2.33213010971792e-09,0.261454796423535,0.431,0.235,2.58936406081981e-05,"0","Azin1"
"Atp6ap1",2.42260329749056e-09,0.312326983295241,0.772,0.581,2.68981644120377e-05,"0","Atp6ap1"
"Coq10b",2.47052966778777e-09,0.445599602417197,0.404,0.215,2.74302909014476e-05,"0","Coq10b"
"Fem1a",2.82022901639274e-09,0.453069696541336,0.599,0.404,3.13130027690086e-05,"0","Fem1a"
"Camk1",3.33988373627286e-09,0.285336858604762,0.958,0.836,3.70827291238376e-05,"0","Camk1"
"Elovl5",3.43217783104544e-09,0.356286225881502,0.512,0.308,3.81074704580975e-05,"0","Elovl5"
"Akirin1",3.67856836464134e-09,0.259709388029555,0.575,0.364,4.08431445526128e-05,"0","Akirin1"
"Btg1",3.71856123041828e-09,0.340169926389847,0.596,0.408,4.12871853413342e-05,"0","Btg1"
"Snx2",4.15505352702873e-09,0.27630998444293,0.608,0.388,4.61335593106e-05,"0","Snx2"
"Msantd4",4.90483490397687e-09,0.259134685965608,0.554,0.348,5.44583819388552e-05,"0","Msantd4"
"Tmem130",4.94242405209017e-09,0.316249277771142,0.976,0.92,5.48757342503571e-05,"0","Tmem130"
"Hadha",4.94629181945301e-09,0.263083120570309,0.584,0.368,5.49186780713867e-05,"0","Hadha"
"Spock2",4.95187062598791e-09,0.291647921408717,0.877,0.754,5.49806195603438e-05,"0","Spock2"
"Tbcb",5.21779530134746e-09,0.285308807980325,0.79,0.63,5.79331812308609e-05,"0","Tbcb"
"Ier2",5.41267760367808e-09,0.841392671903381,0.503,0.333,6.00969594336377e-05,"0","Ier2"
"Serbp1",5.46747776640327e-09,0.255871692083187,0.895,0.789,6.07054056403755e-05,"0","Serbp1"
"Stat3",5.75365901145879e-09,0.26146333285328,0.59,0.384,6.3882876004227e-05,"0","Stat3"
"Shisa4",6.09515746011946e-09,0.356586573786844,0.62,0.428,6.76745332797064e-05,"0","Shisa4"
"Trim35",6.32787919669133e-09,0.28755306910923,0.662,0.466,7.02584427208638e-05,"0","Trim35"
"Tm9sf2",6.57389890454353e-09,0.284782180837814,0.608,0.419,7.29899995371469e-05,"0","Tm9sf2"
"Psmd8",6.83884291876088e-09,0.303941863267735,0.737,0.57,7.59316729270021e-05,"0","Psmd8"
"Hsd17b10",7.2519244632422e-09,0.281639682366766,0.778,0.594,8.05181173153782e-05,"0","Hsd17b10"
"Gnptg",7.42319968853477e-09,0.288806252216552,0.814,0.65,8.24197861418016e-05,"0","Gnptg"
"C1galt1c1",7.78035041824654e-09,0.252823661846847,0.781,0.561,8.63852306937914e-05,"0","C1galt1c1"
"Gpr19",7.93400702403411e-09,0.269470863275399,0.398,0.213,8.80912799878507e-05,"0","Gpr19"
"Rtp4",8.25928795070608e-09,0.281878741016319,0.338,0.169,9.17028741166896e-05,"0","Rtp4"
"Tmem106b",8.58495799786383e-09,0.25021322965095,0.452,0.262,9.53187886502821e-05,"0","Tmem106b"
"Tiprl",9.9437523482887e-09,0.266629461371877,0.581,0.381,0.000110405482323049,"0","Tiprl"
"Lmo4",1.04841440091294e-08,0.302961622050491,0.653,0.466,0.000116405450933364,"0","Lmo4"
"Nmi",1.17138896964169e-08,0.265785155593778,0.467,0.277,0.000130059317299317,"0","Nmi"
"Slc3a2",1.51696133959993e-08,0.295974238369426,0.602,0.408,0.00016842821753578,"0","Slc3a2"
"Ubqln2",1.59314765286039e-08,0.25848760864197,0.542,0.344,0.000176887183897089,"0","Ubqln2"
"Raly",1.66953633787296e-08,0.269973588270778,0.79,0.605,0.000185368619594035,"0","Raly"
"Prdx2",2.0838812382892e-08,0.263831963854516,0.997,0.987,0.00023137333388725,"0","Prdx2"
"Paics",2.1178967118581e-08,0.274308786228625,0.662,0.466,0.000235150071917605,"0","Paics"
"Psmb9",2.13621122385071e-08,0.319207564072534,0.751,0.561,0.000237183532184144,"0","Psmb9"
"Reep2",2.18085157283253e-08,0.255955052122689,0.398,0.22,0.000242139950131596,"0","Reep2"
"Dtx3",2.27621134511242e-08,0.259104856337658,0.686,0.501,0.000252727745647832,"0","Dtx3"
"Rnh1",2.7041475301263e-08,0.27149662724474,0.692,0.512,0.000300241500269923,"0","Rnh1"
"Eif2ak1",2.93834992799785e-08,0.302671748966354,0.542,0.366,0.000326244992505602,"0","Eif2ak1"
"Cyb561",3.25301277354029e-08,0.267523971087971,0.593,0.401,0.000361182008246178,"0","Cyb561"
"Pitx1",3.36483792349625e-08,0.346127381686247,0.731,0.576,0.000373597954645788,"0","Pitx1"
"Scg2",3.48687962534171e-08,0.272312167058588,0.964,0.914,0.00038714824480169,"0","Scg2"
"Itfg1",3.73933879218639e-08,0.271864916281012,0.901,0.743,0.000415178786096455,"0","Itfg1"
"Sncb",3.78874190399785e-08,0.291630349371082,0.802,0.643,0.000420664013600881,"0","Sncb"
"Tmem30a",4.09341093286259e-08,0.257837324371451,0.551,0.377,0.000454491415875733,"0","Tmem30a"
"Eif4h",4.22192563723232e-08,0.275017246864596,0.743,0.574,0.000468760403501904,"0","Eif4h"
"Rsrc2",4.28708535510883e-08,0.269986438040456,0.769,0.588,0.000475995086977734,"0","Rsrc2"
"Tmem59l",4.5600377059828e-08,0.34832286123907,0.467,0.29,0.000506300986495271,"0","Tmem59l"
"Sdf4",4.86914382645046e-08,0.26046605001419,0.898,0.767,0.000540621039050794,"0","Sdf4"
"Tmbim4",5.35334208787957e-08,0.292209192011202,0.772,0.594,0.000594381572017269,"0","Tmbim4"
"Terf2ip",5.79726256471313e-08,0.255974798973419,0.458,0.271,0.000643670062560098,"0","Terf2ip"
"Vcp",5.96887338011916e-08,0.283445005120674,0.838,0.683,0.00066272401139463,"0","Vcp"
"Polr3k",6.09513450042186e-08,0.260812134776563,0.823,0.681,0.000676742783581839,"0","Polr3k"
"Usp11",6.43132726872306e-08,0.269511330129069,0.548,0.368,0.000714070266646321,"0","Usp11"
"Psmd2",6.85936465605061e-08,0.265133708524361,0.623,0.437,0.000761595257761299,"0","Psmd2"
"Alcam",7.54187767434429e-08,0.250475537840925,0.515,0.317,0.000837374678182447,"0","Alcam"
"Ech1",8.2991598211394e-08,0.274045837226455,0.575,0.384,0.000921455714941108,"0","Ech1"
"Tppp3",9.27662020945803e-08,0.361249644508675,0.713,0.534,0.00102998314185612,"0","Tppp3"
"Hspd1",1.06544157341025e-07,0.255462721565925,0.722,0.506,0.0011829597789574,"0","Hspd1"
"Grn",1.16346800541206e-07,0.258750699774276,0.554,0.375,0.00129179852640901,"0","Grn"
"St3gal4",1.26879718840039e-07,0.256932146850738,0.437,0.259,0.00140874551828095,"0","St3gal4"
"Fam110b",1.26946150174832e-07,0.259759687224135,0.536,0.35,0.00140948310539116,"0","Fam110b"
"Nudt8",1.28683540062815e-07,0.310506948660033,0.952,0.845,0.00142877334531744,"0","Nudt8"
"Sqstm1",1.49322108848826e-07,0.262424458187979,0.868,0.736,0.00165792337454852,"0","Sqstm1"
"Sccpdh",1.63356874952167e-07,0.256852763397061,0.746,0.561,0.00181375138259391,"0","Sccpdh"
"Aamp",1.72963775243984e-07,0.267481593431729,0.74,0.543,0.00192041679653396,"0","Aamp"
"Atp6v0d1",1.81795115525594e-07,0.251821044859308,0.949,0.823,0.00201847116768067,"0","Atp6v0d1"
"Sp110",1.88965457967793e-07,0.278160264114422,0.485,0.319,0.00209808347981641,"0","Sp110"
"Ntrk2",1.93939689772296e-07,0.270440384346377,0.695,0.519,0.0021533123755418,"0","Ntrk2"
"Hsp90b1",1.94275860094545e-07,0.262313799152627,0.922,0.836,0.00215704487462973,"0","Hsp90b1"
"Usp18",2.41235537595273e-07,0.268798468029144,0.296,0.146,0.00267843817392032,"0","Usp18"
"Ddit3",2.4580230309937e-07,0.31892677128195,0.599,0.412,0.0027291429713123,"0","Ddit3"
"Tmem176a",2.46690156552719e-07,0.260894269889276,0.931,0.845,0.00273900080820484,"0","Tmem176a"
"Cish",2.82495471226187e-07,0.25117420554686,0.374,0.213,0.00313654721702435,"0","Cish"
"Paxx",2.99109811425864e-07,0.256322864077013,0.701,0.528,0.00332101623626137,"0","Paxx"
"Rgs2",3.43106643922042e-07,0.863069328950086,0.494,0.337,0.00380951306746643,"0","Rgs2"
"Hat1",3.44785795499098e-07,0.251404572882304,0.443,0.273,0.00382815668742648,"0","Hat1"
"Adrm1",3.47836663539477e-07,0.250560217122964,0.719,0.572,0.00386203047527882,"0","Adrm1"
"Dtd1",3.55314064239903e-07,0.251651068227,0.719,0.55,0.00394505205525564,"0","Dtd1"
"Cct2",4.04518278727765e-07,0.281652478058424,0.737,0.57,0.00449136644871437,"0","Cct2"
"Tmem50b",5.514042113952e-07,0.251938126229473,0.871,0.743,0.00612224095912091,"0","Tmem50b"
"Hdhd2",7.18017378011961e-07,0.25332666644209,0.668,0.53,0.0079721469480668,"0","Hdhd2"
"Ctsl",7.492795343645e-07,0.258322252242633,0.611,0.446,0.00831925067004904,"0","Ctsl"
"N4bp2l1",7.68673539334697e-07,0.259808617084163,0.569,0.401,0.00853458230723315,"0","N4bp2l1"
"Nfkbia",8.37744805945548e-07,0.312882600168907,0.416,0.253,0.00930148058041342,"0","Nfkbia"
"Ube2e1",8.63389711451941e-07,0.271253487897325,0.814,0.674,0.0095862159662509,"0","Ube2e1"
"Six1",9.34517586542694e-07,0.253475293379645,0.644,0.472,0.0103759487633835,"0","Six1"
"Eno2",1.43689964298252e-06,0.25947685905093,0.799,0.641,0.0159538967360349,"0","Eno2"
"Mpst",1.59658656055582e-06,0.25227083021,0.76,0.601,0.0177269005818513,"0","Mpst"
"Calml4",2.16450006328126e-06,0.351773072589468,0.506,0.339,0.0240324442026118,"0","Calml4"
"Herpud1",2.21330740894294e-06,0.258417069221884,0.464,0.306,0.0245743521614935,"0","Herpud1"
"Dbnl",3.54288863005119e-06,0.25178494062688,0.476,0.337,0.0393366924594584,"0","Dbnl"
"Ecm1",3.54436424787858e-06,0.280283329491933,0.482,0.326,0.0393530762441958,"0","Ecm1"
"Hspb6",3.83922363794959e-06,0.254110485095397,0.338,0.2,0.0426269000521543,"0","Hspb6"
"Nr4a2",3.84671257816553e-06,0.410630591836128,0.428,0.302,0.0427100497553719,"0","Nr4a2"
"Pomc",9.26888185304136e-44,0.760410565710696,1,1,1.02912395214318e-39,"1","Pomc"
"Cpe",1.06138124453144e-17,0.473869328240377,0.989,0.985,1.17845159580326e-13,"1","Cpe"
"Cxcl14",4.88052726760427e-10,0.301320266367581,0.579,0.344,5.41884942522102e-06,"1","Cxcl14"
"Cd63",4.29809256513521e-09,0.391721822038697,0.904,0.823,4.77217217506962e-05,"1","Cd63"
"Nmb",5.39685235382993e-08,0.297215169053503,0.414,0.227,0.000599212516845737,"1","Nmb"
"Espn",4.38892740025742e-07,0.301619112487023,0.613,0.42,0.00487302609250582,"1","Espn"
"Igfbp7",8.45792472977879e-07,0.327208766814693,0.789,0.649,0.00939083382747339,"1","Igfbp7"
"Igfbp5",8.37495809598598e-34,1.31294417904407,0.426,0.064,9.29871597397323e-30,"2","Igfbp5"
"Dapl1",2.94699598435505e-17,0.372495981866016,0.205,0.027,3.27204964142941e-13,"2","Dapl1"
"Dlk1",1.70213819232453e-13,0.811567173344519,0.584,0.276,1.88988403493793e-09,"2","Dlk1"
"Apoe",1.70766949901004e-13,0.726082417281347,0.232,0.052,1.89602544475085e-09,"2","Apoe"
"Mt3",1.39106284861792e-12,0.395250598630676,0.311,0.101,1.54449708082048e-08,"2","Mt3"
"Ptn",9.11324881369692e-12,0.346121319106295,0.221,0.055,1.01184401578477e-07,"2","Ptn"
"Rbm39",1.15839451359513e-10,0.423878579654409,1,0.993,1.28616542844467e-06,"2","Rbm39"
"Jund",1.90482762849652e-10,0.515740471769279,0.363,0.168,2.11493011591969e-06,"2","Jund"
"Dynll1",3.56746148767339e-08,0.477158626217508,0.905,0.83,0.000396095248976376,"2","Dynll1"
"Crip2",4.14973810832334e-08,0.317473176138798,0.289,0.126,0.00046074542216714,"2","Crip2"
