Mt1
Sbno2
Lmna
Bhlhe40
Errfi1
Atf3
Ifrd1
Rheb
Dstn
Fosb
Nfil3
Tgif1
Actg1
Stat3
Rcan1
Eif1a
Tiparp
Socs3
Mast4
Nptx2
Btg1
Gadd45b
Jmjd1c
Tsc22d1
Arid5a
Irs2
Fosl2
Ccdc85b
Ccnl1
Map3k8
Rab18
Actb
Cebpd
Rbm39
Tubb6
Vcl
Itpkc
Gadd45a
Nr4a2
Aopep
Mul1
Vmp1
Zyx
Klf7
Gadd45g
Arih1
Avpi1
