Cga
Prl
B2m
Dlk1
Clu
Pomc
Itm2c
Cd63
Chga
Mest
Ptn
Rps24
Rpl9
Rps27
Rps11
S100a10
Tmsb10
Rpl8
Rps5
Fau
Rpl18
Rpl19
Btf3
