"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
"Rab10",1.21361680899492e-07,0.254165552167073,0.557,0.363,0.00134747874302706,"2","Rab10"
"Zfp361",1.36529401371565e-07,0.333693175886038,0.852,0.791,0.00151588594342849,"2","Zfp36"
"Iqgap1",1.40828137846972e-07,0.257728158789907,0.392,0.223,0.00156361481451493,"2","Iqgap1"
"Arpc5l",1.45176768286676e-07,0.261672401568639,0.768,0.558,0.00161189765828697,"2","Arpc5l"
"Cct5",1.51544997029743e-07,0.251497461268621,0.675,0.456,0.00168260410202123,"2","Cct5"
"Wdr1",1.94161491990372e-07,0.261414463751395,0.494,0.311,0.0021557750455691,"2","Wdr1"
"N4bp2l1",1.98771077967945e-07,0.250935863250968,0.414,0.244,0.00220695527867809,"2","N4bp2l1"
"Sf3b4",2.21682177904504e-07,0.251130694269834,0.473,0.291,0.00246133722127371,"2","Sf3b4"
"Arl3",2.73293053917636e-07,0.253357317686715,0.916,0.789,0.00303437277764751,"2","Arl3"
"Fubp1",3.26068677464894e-07,0.281915331091592,0.527,0.349,0.00362034052589272,"2","Fubp1"
"Mmadhc",3.9087447207688e-07,0.256049141968579,0.384,0.226,0.0043398792634696,"2","Mmadhc"
"Ier21",3.93201863564747e-07,0.262321509170224,0.992,0.976,0.00436572029115939,"2","Ier2"
"Hspa4",4.77740814718618e-07,0.258635509003621,0.439,0.273,0.00530435626582081,"2","Hspa4"
"Pam",4.87878293185469e-07,0.261550911564256,0.46,0.283,0.00541691268923826,"2","Pam"
"Prorsd1",5.25473249768044e-07,0.256142426701784,0.498,0.326,0.00583432949217459,"2","Prorsd1"
"Prdx2",5.34035748299053e-07,0.280156607580248,0.924,0.9,0.00592939891336439,"2","Prdx2"
"Mdh1",5.39273203717465e-07,0.26489853452016,0.949,0.933,0.00598755038087502,"2","Mdh1"
"Rgs41",5.5549623714913e-07,0.301054192622398,0.27,0.134,0.00616767472106679,"2","Rgs4"
"Hmgn1",5.81219765950618e-07,0.256433980375935,0.928,0.873,0.00645328306134971,"2","Hmgn1"
"Zdbf2",7.63153528152858e-07,0.267303629530475,0.473,0.308,0.00847329362308118,"2","Zdbf2"
"Baiap21",1.01916360488313e-06,0.259251574006923,0.536,0.35,0.0113157735050174,"2","Baiap2"
"Gapdh",1.25153132100082e-06,0.27191439030888,0.966,0.95,0.0138957522570721,"2","Gapdh"
