"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
"Spag7",2.04555369034939e-06,0.301010683971666,0.541,0.37,0.0227117826239492,"1","Spag7"
"Mrps16",2.15455463179089e-06,0.263284488778204,0.475,0.303,0.0239220200767742,"1","Mrps16"
"Thoc7",2.17617270054176e-06,0.288625560681929,0.418,0.259,0.0241620454941152,"1","Thoc7"
"Klhdc8b",2.1976908309139e-06,0.307038246701889,0.484,0.316,0.0244009612956371,"1","Klhdc8b"
"Ssu72",2.23180400788037e-06,0.305638704111077,0.516,0.345,0.0247797198994958,"1","Ssu72"
"Ndufb2",2.27080266508191e-06,0.278149863601329,0.84,0.818,0.0252127219904044,"1","Ndufb2"
"Lmo1",2.41692880902209e-06,0.313688836824546,0.352,0.212,0.0268351605665722,"1","Lmo1"
"Emg1",2.52012023391146e-06,0.261836856095641,0.369,0.219,0.027980894957119,"1","Emg1"
"Ndufb6",2.60657042592911e-06,0.335846163930935,0.676,0.61,0.028940751439091,"1","Ndufb6"
"Zmynd8",2.62464416644142e-06,0.302994451958195,0.402,0.248,0.0291414241799991,"1","Zmynd8"
"Rtl8a",2.72562602202893e-06,0.320449165961449,0.738,0.694,0.0302626257225872,"1","Rtl8a"
"Celf4",2.853528547266e-06,0.301010683971666,0.484,0.316,0.0316827274602944,"1","Celf4"
"Bri3",2.85885010950381e-06,0.305488668747849,0.623,0.457,0.0317418127658208,"1","Bri3"
"Bola2",3.0441594436959e-06,0.333733211307948,0.537,0.39,0.0337993023033556,"1","Bola2"
"Acat1",3.04538031097876e-06,0.316201656584296,0.471,0.32,0.0338128575927972,"1","Acat1"
"Tceal3",3.12193161256946e-06,0.318425953111338,0.594,0.41,0.0346628066943587,"1","Tceal3"
"Smim26",3.32122958037042e-06,0.260811668007923,0.463,0.297,0.0368756120308527,"1","Smim26"
"Itfg1",3.35065131192124e-06,0.319731823587729,0.504,0.345,0.0372022815162616,"1","Itfg1"
"Psmb7",3.363872730153e-06,0.29746513635187,0.598,0.432,0.0373490789228887,"1","Psmb7"
"Snap47",3.38469479711059e-06,0.264162619628802,0.455,0.287,0.0375802663323189,"1","Snap47"
"Sf3b5",3.50115157663614e-06,0.338439090549136,0.623,0.509,0.038873285955391,"1","Sf3b5"
"Mgst3",3.5179732467999e-06,0.294582212141995,0.402,0.252,0.0390600569592193,"1","Mgst3"
"Mrps34",3.5279580085676e-06,0.287593796408653,0.439,0.286,0.0391709177691261,"1","Mrps34"
"Mrpl23",3.62552505580637e-06,0.272868481924342,0.607,0.436,0.0402542046946181,"1","Mrpl23"
"Commd4",3.66313040824579e-06,0.259898159045107,0.332,0.188,0.0406717369227531,"1","Commd4"
"Mrpl14",3.86329255412043e-06,0.282948764436473,0.488,0.319,0.0428941372283992,"1","Mrpl14"
"Mesd",3.90926428416876e-06,0.271302922317356,0.328,0.19,0.0434045613471258,"1","Mesd"
"Gemin7",3.91893199601482e-06,0.257767776140433,0.393,0.24,0.0435119019517525,"1","Gemin7"
"Tsn",3.93496308478134e-06,0.292154923002794,0.516,0.357,0.0436898951303273,"1","Tsn"
"Hdac2",4.24477415191182e-06,0.256076448092698,0.34,0.199,0.047129727408677,"1","Hdac2"
"Fam13a",4.2480778723073e-06,0.287306881338819,0.357,0.208,0.047166408616228,"1","Fam13a"
"Ssbp1",4.26827032167326e-06,0.255442834708638,0.406,0.251,0.0473906053815382,"1","Ssbp1"
"Prune2",4.27056238022763e-06,0.255246266861733,0.475,0.309,0.0474160541076674,"1","Prune2"
"Atp6v1d",4.3820361574271e-06,0.317429280855609,0.545,0.389,0.048653747455913,"1","Atp6v1d"
"Fos",6.12088727044515e-13,0.296738209658706,0.969,0.847,6.79602113637525e-09,"2","Fos"
"Hspb1",3.00200608975789e-12,0.41590263471455,0.912,0.799,3.33312736145818e-08,"2","Hspb1"
"Ubb",7.36519917275568e-09,0.302195769027872,1,1,8.17758064151063e-05,"2","Ubb"
"Ddit4",5.83300233920693e-07,0.614444611970203,0.42,0.262,0.00647638249722146,"2","Ddit4"
"Dnajb1",5.53523857538329e-75,3.07417028241585,0.987,0.825,6.14577539024807e-71,"3","Dnajb1"
"Jun",4.99394632559063e-73,2.50468981509506,0.987,0.784,5.54477860530328e-69,"3","Jun"
"Hspa8",1.84149647769277e-68,1.85542064993909,1,1,2.04461353918229e-64,"3","Hspa8"
"Npas4",1.57415728822017e-60,2.40616994783938,0.862,0.289,1.74778683711086e-56,"3","Npas4"
"Ubc",3.83860288839708e-58,1.9306124547224,1,0.983,4.26200078698728e-54,"3","Ubc"
"Egr1",4.8068307651699e-58,2.06401403435559,0.931,0.448,5.33702419856814e-54,"3","Egr1"
"Hsp90aa1",4.8207557567786e-58,1.97216240967574,0.994,0.958,5.35248511675128e-54,"3","Hsp90aa1"
"Atf3",3.07067345881608e-53,2.2124872671981,0.818,0.256,3.4093687413235e-49,"3","Atf3"
"Hspa5",1.05764873475743e-52,1.68312930486023,1,0.97,1.17430739020117e-48,"3","Hspa5"
"Dnaja4",4.33282434143106e-52,1.73858979365201,0.73,0.198,4.81073486629091e-48,"3","Dnaja4"
"Btg2",6.08987610665244e-52,1.68263253966463,1,0.93,6.7615894412162e-48,"3","Btg2"
"Hspb12",3.16099364232126e-51,2.59636790571756,0.937,0.799,3.5096512410693e-47,"3","Hspb1"
"Fos1",6.68554646692573e-51,2.34154889450105,0.981,0.849,7.42296224222764e-47,"3","Fos"
"Hsp90ab1",4.68986314111097e-50,1.36520361555604,1,1,5.20715504557551e-46,"3","Hsp90ab1"
"Zfp36",1.24340498566241e-48,1.82974923986805,0.73,0.195,1.38055255558097e-44,"3","Zfp36"
"Hsph1",1.93032217221565e-48,1.56781630018763,0.855,0.336,2.14323670781103e-44,"3","Hsph1"
"Jund",5.57606375500424e-48,1.45082708114927,0.994,0.907,6.19110358718121e-44,"3","Jund"
"Ubb1",1.50958519700565e-47,1.23804406007395,1,1,1.67609244423537e-43,"3","Ubb"
"Dnaja1",2.01680015569862e-45,1.59095754396421,0.962,0.869,2.23925321287217e-41,"3","Dnaja1"
"Nr4a1",3.16774572134902e-45,1.79028690397657,0.893,0.415,3.51714807441382e-41,"3","Nr4a1"
"Ier2",3.59056360976813e-44,2.03458023171014,0.862,0.375,3.98660277592555e-40,"3","Ier2"
"Fosb",7.27788901837114e-42,1.57195011035278,0.824,0.322,8.08064017709748e-38,"3","Fosb"
"Actg1",8.98853105623059e-40,1.45595362300153,1,0.981,9.97996603173282e-36,"3","Actg1"
"Cdkn1a",1.78255005190707e-39,1.46873491249364,0.679,0.199,1.97916532263241e-35,"3","Cdkn1a"
"Hspe1",2.4144291679098e-38,1.58834588204227,0.962,0.962,2.68074070513025e-34,"3","Hspe1"
"Csrnp1",6.55536125661229e-37,0.829796018194407,0.623,0.156,7.27841760321662e-33,"3","Csrnp1"
"Hmgcs1",2.1794100792136e-35,1.2553087352679,0.679,0.225,2.41979901095086e-31,"3","Hmgcs1"
"Ciart",2.12750885431701e-34,1.02974413227084,0.509,0.111,2.36217308094817e-30,"3","Ciart"
"Bag3",1.95443467423228e-32,1.13944177685868,0.478,0.105,2.1700088188001e-28,"3","Bag3"
"Siah2",3.95996016854618e-31,0.693470153042339,0.522,0.125,4.39674377513682e-27,"3","Siah2"
"Btg1",1.09021959744545e-30,0.926245606791599,0.931,0.557,1.21047081904369e-26,"3","Btg1"
"Ddit3",1.58104712804421e-30,1.37137110402057,0.761,0.31,1.75543662626749e-26,"3","Ddit3"
"Ppp1r15a",2.34195895045692e-30,1.00734984558785,0.799,0.31,2.60027702269232e-26,"3","Ppp1r15a"
"Insig1",2.42182852088794e-30,0.936462794254931,0.686,0.23,2.68895620674188e-26,"3","Insig1"
"Coq10b",5.14675242743612e-30,1.1217693741097,0.818,0.421,5.71443922018232e-26,"3","Coq10b"
"Arc",9.76478400301551e-30,1.3854922961512,0.453,0.106,1.08418396785481e-25,"3","Arc"
"Irs2",9.41643411171621e-29,0.698837613544591,0.535,0.141,1.04550667942385e-24,"3","Irs2"
"Atf4",6.54916672349823e-28,0.916168409196529,0.849,0.446,7.27153981310008e-24,"3","Atf4"
"Slc38a2",2.81883841237347e-27,1.0325573481385,0.792,0.372,3.12975628925827e-23,"3","Slc38a2"
"Eif1",5.18615497342405e-26,0.593875422476764,1,1,5.75818786699272e-22,"3","Eif1"
"Klf9",6.30753237316618e-26,1.00380176355433,0.805,0.401,7.00325319392641e-22,"3","Klf9"
"Mat2a",5.88950125639119e-25,1.06830305681971,0.799,0.411,6.53911324497114e-21,"3","Mat2a"
"Pnrc1",5.99679460827004e-25,0.89246102137762,0.843,0.481,6.65824105356222e-21,"3","Pnrc1"
"Dedd2",2.65462900989934e-24,0.49741766719772,0.377,0.08,2.94743458969124e-20,"3","Dedd2"
"Ifrd1",1.95385581574131e-23,0.922261742059524,0.704,0.309,2.16936611221757e-19,"3","Ifrd1"
"Dusp8",1.26415748240464e-22,0.49741766719772,0.371,0.084,1.40359405271388e-18,"3","Dusp8"
"Saraf",1.21885812830106e-21,0.722308548974983,0.95,0.917,1.35329817985267e-17,"3","Saraf"
"Ddx5",2.29908261498038e-21,0.603451394397121,1,0.993,2.55267142741271e-17,"3","Ddx5"
"Irf1",2.60115313351923e-21,0.738759570556908,0.384,0.1,2.8880603241464e-17,"3","Irf1"
"Tra2b",5.63877134482583e-21,0.725964791567455,0.836,0.598,6.26072782416012e-17,"3","Tra2b"
"Mt1",1.40036682707302e-20,0.879322316267883,0.994,0.993,1.55482728809918e-16,"3","Mt1"
"Nfil3",2.40235713694671e-20,0.767858344980276,0.478,0.156,2.66733712915193e-16,"3","Nfil3"
"Bhlhe40",2.9076061245527e-20,0.888571594894019,0.698,0.331,3.22831508009086e-16,"3","Bhlhe40"
"Msmo1",5.3391931522086e-20,0.864392823545688,0.579,0.237,5.9281061568972e-16,"3","Msmo1"
"Actb",1.02817237611808e-19,0.795827717175873,0.994,0.989,1.1415797892039e-15,"3","Actb"
"Tob1",1.9002293724543e-19,0.946796698916286,0.792,0.473,2.10982467223601e-15,"3","Tob1"
"Hspd1",2.78455007090148e-19,0.967624689583082,0.767,0.531,3.09168594372192e-15,"3","Hspd1"
"Ahsa11",1.21718945183631e-18,0.80264504810042,0.692,0.353,1.35144544837385e-14,"3","Ahsa1"
"Cacybp",1.76585112494632e-18,0.819121871808345,0.711,0.411,1.9606245040279e-14,"3","Cacybp"
"Taf7",2.74322262127409e-18,0.541540220430028,0.409,0.125,3.04580007640062e-14,"3","Taf7"
"Cebpb",5.99407918400331e-18,0.921561270111718,0.78,0.481,6.65522611799887e-14,"3","Cebpb"
"Sec24a",8.02955766017014e-18,0.547478603096643,0.509,0.189,8.91521787008691e-14,"3","Sec24a"
"Klf6",9.47168827541888e-18,0.650142984535319,0.459,0.156,1.05164154921976e-13,"3","Klf6"
"Dstn",1.04907857629267e-17,0.73172604353467,0.893,0.758,1.16479194325775e-13,"3","Dstn"
"Gadd45b",1.05264270677184e-16,1.03716281470616,0.528,0.216,1.16874919732878e-12,"3","Gadd45b"
"Klf4",1.33376681374147e-16,0.621579718355145,0.27,0.062,1.48088129329716e-12,"3","Klf4"
"Herpud1",2.33181403232294e-16,0.931999696988205,0.767,0.483,2.58901312008816e-12,"3","Herpud1"
"Sertad1",2.71013018471596e-16,0.487455973020609,0.409,0.135,3.00905754409013e-12,"3","Sertad1"
"Klf13",2.91044705758903e-16,0.683889411177681,0.597,0.284,3.2314693680411e-12,"3","Klf13"
"Ddx50",3.3223414268766e-16,0.771498640251313,0.818,0.604,3.68879568626109e-12,"3","Ddx50"
"Phlda1",5.65228092555472e-16,1.68049693741117,0.516,0.225,6.2757275116434e-12,"3","Phlda1"
"Egr4",6.38763115769583e-16,1.4238236299942,0.277,0.069,7.09218687438968e-12,"3","Egr4"
"Errfi1",6.73762066638715e-16,1.14980382051487,0.516,0.225,7.48078022588966e-12,"3","Errfi1"
"Ccnd2",7.02752262700973e-16,0.641306384062654,0.95,0.907,7.8026583727689e-12,"3","Ccnd2"
"Maff",8.80128805637226e-16,0.65592041472594,0.358,0.109,9.77207012899012e-12,"3","Maff"
"Nfkbiz",1.49910536194763e-15,0.515627410022293,0.346,0.106,1.66445668337045e-11,"3","Nfkbiz"
"Dnajb4",1.59415208509192e-15,0.788655071177707,0.541,0.253,1.76998706007756e-11,"3","Dnajb4"
"Oser1",1.73213679272493e-15,0.630386453028987,0.535,0.226,1.92319148096249e-11,"3","Oser1"
"Pim3",1.73803506944288e-15,0.693665778544808,0.547,0.242,1.92974033760243e-11,"3","Pim3"
"Tmem41b",3.64453374473449e-15,0.609864129155641,0.547,0.243,4.0465258167787e-11,"3","Tmem41b"
"Tmem37",3.85241767316424e-15,0.406428906383751,0.308,0.083,4.27733934251426e-11,"3","Tmem37"
"Stip1",4.04950431650387e-15,0.668024110392352,0.528,0.244,4.49616464261425e-11,"3","Stip1"
"Ftl1",4.87016817074122e-15,1.02597769900941,1,1,5.40734771997398e-11,"3","Ftl1"
"Dynll2",1.37134489721373e-14,0.503319050389756,0.906,0.846,1.5226042393764e-10,"3","Dynll2"
"Srebf2",1.94640687781478e-14,0.416281982217506,0.365,0.12,2.16109555643775e-10,"3","Srebf2"
"Tiparp",3.78401879830032e-14,0.493843478398731,0.421,0.154,4.20139607175285e-10,"3","Tiparp"
"Klf10",4.78043744786952e-14,0.636258877683166,0.352,0.119,5.30771969836953e-10,"3","Klf10"
"Per1",1.17604789214834e-13,0.501385550593924,0.535,0.236,1.3057659746523e-09,"3","Per1"
"Ldlr",1.27635764439711e-13,0.438417238671358,0.27,0.074,1.41713989257411e-09,"3","Ldlr"
"Slc25a25",3.70584485443091e-13,0.585895888940518,0.478,0.212,4.11459954187464e-09,"3","Slc25a25"
"Ccnl1",4.45080404061046e-13,0.577044030677567,0.648,0.359,4.94172772628979e-09,"3","Ccnl1"
"Nfkbia",5.14263475679673e-13,1.19307974046076,0.472,0.231,5.70986737047141e-09,"3","Nfkbia"
"Vcl",6.42619079871497e-13,0.371711037739843,0.314,0.1,7.13499964381323e-09,"3","Vcl"
"Swt11",6.4444158269925e-13,0.564047619839597,0.447,0.19,7.15523489270977e-09,"3","Swt1"
"Cfl1",7.26388168119808e-13,0.509069496435623,0.937,0.977,8.06508783063423e-09,"3","Cfl1"
"Fosl2",1.67351490592505e-12,0.431203011995442,0.39,0.147,1.85810360004859e-08,"3","Fosl2"
"Ahsa2",1.78354668491943e-12,0.323246555117021,0.296,0.091,1.98027188426605e-08,"3","Ahsa2"
"Cited4",1.86527901371733e-12,0.635678151094034,0.34,0.123,2.07101928893035e-08,"3","Cited4"
"Stat3",2.06993750115908e-12,0.544305594174735,0.553,0.281,2.29825160753693e-08,"3","Stat3"
"Fth11",2.11634780010522e-12,0.446734937924873,1,1,2.34978096245682e-08,"3","Fth1"
"Nr1d1",2.40570480168355e-12,0.553853481868879,0.541,0.265,2.67105404130924e-08,"3","Nr1d1"
"Ptma",3.30039877321128e-12,0.440677708823148,1,1,3.66443275789649e-08,"3","Ptma"
"Rheb",6.9584810541312e-12,0.449754046484048,0.912,0.807,7.72600151440187e-08,"3","Rheb"
"Cyp51",7.19073008420138e-12,0.325705515115742,0.233,0.063,7.98386761248879e-08,"3","Cyp51"
"Rsrc2",1.16635645116235e-11,0.517244633190326,0.667,0.41,1.29500556772556e-07,"3","Rsrc2"
"Dnajb9",1.40950071537569e-11,0.609767127170805,0.78,0.707,1.56496864428163e-07,"3","Dnajb9"
"Wdr1",1.4718889907729e-11,0.461369871746044,0.491,0.228,1.63423834645515e-07,"3","Wdr1"
"Arf6",1.70996347523254e-11,0.339980417679884,0.346,0.126,1.89857244655069e-07,"3","Arf6"
"Senp2",2.16208000173106e-11,0.360747564576046,0.434,0.179,2.400557425922e-07,"3","Senp2"
"Gem",2.38736443685662e-11,0.669588581723355,0.396,0.16,2.65069073424191e-07,"3","Gem"
"Slc3a2",3.02261120635353e-11,0.556413496911558,0.572,0.302,3.35600522241432e-07,"3","Slc3a2"
"Clk1",3.58260835560809e-11,0.486678285395509,0.648,0.357,3.97777005723166e-07,"3","Clk1"
"Fbxo33",4.00613004265845e-11,0.275578464844711,0.245,0.072,4.44800618636367e-07,"3","Fbxo33"
"Ube2s",6.06033414626488e-11,0.609497604530503,0.792,0.728,6.7287890025979e-07,"3","Ube2s"
