,loss,f1_score,val_loss,val_f1_score
0,382.3304138183594,0.11571048200130463,210.30189514160156,0.1571495234966278
1,140.59878540039062,0.19968709349632263,65.47581481933594,0.2164466679096222
2,53.93552017211914,0.4767422676086426,48.18221664428711,0.259346067905426
3,36.68028259277344,0.6276744604110718,22.6840763092041,0.3081703782081604
4,20.66501235961914,0.283336341381073,15.200242042541504,0.1660599410533905
5,13.60127067565918,0.18546946346759796,11.204193115234375,0.18173135817050934
6,10.331358909606934,0.20612835884094238,9.266295433044434,0.18367348611354828
7,8.838669776916504,0.18783673644065857,8.407662391662598,0.18086791038513184
8,8.191719055175781,0.1869908720254898,8.010576248168945,0.1807081699371338
9,7.907537460327148,0.18345223367214203,7.830163478851318,0.18367348611354828
10,7.7655930519104,0.20067524909973145,7.727169036865234,0.18554779887199402
11,7.692043781280518,0.19387373328208923,7.68321418762207,0.17068645358085632
12,7.644585132598877,0.1951400190591812,7.648759365081787,0.17344191670417786
13,7.608607769012451,0.1826673448085785,7.602232933044434,0.1894179731607437
14,7.574559688568115,0.18909163773059845,7.553014278411865,0.18965421617031097
15,7.550968647003174,0.1868182271718979,7.530630111694336,0.18304716050624847
16,7.522305965423584,0.2003457099199295,7.506350994110107,0.22163303196430206
17,7.4789137840271,0.20536890625953674,7.547708511352539,0.16963031888008118
18,7.466500759124756,0.20567047595977783,7.483762741088867,0.1994931399822235
19,7.448604106903076,0.19569578766822815,7.46339225769043,0.18412698805332184
20,7.420548915863037,0.21556313335895538,7.436461925506592,0.2359001636505127
21,7.412797927856445,0.2182784378528595,7.40041446685791,0.2483384609222412
22,7.382640838623047,0.22903062403202057,7.379203796386719,0.29535582661628723
23,7.3614912033081055,0.2320660501718521,7.39603328704834,0.2423631101846695
24,7.338963508605957,0.23685656487941742,7.344121932983398,0.25795313715934753
25,7.344624996185303,0.2465539276599884,7.394067764282227,0.2976788878440857
26,7.350568771362305,0.25540274381637573,7.408755302429199,0.2637297511100769
27,7.303833961486816,0.2958131432533264,7.3040771484375,0.352609783411026
28,7.290158748626709,0.32237979769706726,7.4555792808532715,0.30479174852371216
29,7.271008491516113,0.3331075608730316,7.467494487762451,0.2437867969274521
30,7.23477840423584,0.3757210373878479,7.551210880279541,0.16545288264751434
31,7.223628997802734,0.41460031270980835,7.315245151519775,0.2900250554084778
32,7.215091705322266,0.4391794502735138,7.209957599639893,0.44494566321372986
33,7.179225444793701,0.471468448638916,7.149147033691406,0.4949248135089874
34,7.16291618347168,0.45777228474617004,7.180203437805176,0.4577769339084625
35,7.171061992645264,0.45211800932884216,7.289255142211914,0.4112553894519806
36,7.151327610015869,0.45200178027153015,7.188460350036621,0.4555085003376007
37,7.130532264709473,0.4542415142059326,7.253989219665527,0.40266063809394836
38,7.105858325958252,0.46879705786705017,7.181246757507324,0.46307089924812317
39,7.098763465881348,0.47963833808898926,7.14301061630249,0.48455119132995605
40,7.072782516479492,0.470691978931427,7.1831159591674805,0.4537672996520996
41,7.060938358306885,0.49088865518569946,7.136494159698486,0.4062555432319641
42,7.057661533355713,0.5191914439201355,7.104140281677246,0.5345936417579651
43,7.0377092361450195,0.5343347787857056,7.1655473709106445,0.4580007493495941
44,7.016519069671631,0.5354161858558655,7.246768474578857,0.3951911926269531
45,7.00056791305542,0.549837052822113,7.590836524963379,0.3874640166759491
46,6.986164093017578,0.5530635714530945,7.0250091552734375,0.5437139868736267
47,6.972142219543457,0.5477487444877625,7.22428560256958,0.43665140867233276
48,6.961749076843262,0.5523912310600281,6.997142314910889,0.5287694334983826
49,6.938823223114014,0.5461157560348511,7.102712631225586,0.4398825466632843
50,6.956679344177246,0.551852285861969,7.1033220291137695,0.5002820491790771
51,6.959153652191162,0.5564550161361694,6.9397172927856445,0.5284098982810974
52,6.936407089233398,0.5586377382278442,7.216418266296387,0.41434791684150696
53,6.932714939117432,0.5571796298027039,7.0177531242370605,0.5305202603340149
54,6.924907207489014,0.5557810664176941,7.341813564300537,0.410720556974411
55,6.924487113952637,0.5657928586006165,7.01181173324585,0.5469133853912354
56,6.922026634216309,0.5673470497131348,7.043535232543945,0.47528085112571716
57,6.932278633117676,0.5622796416282654,7.024807929992676,0.539090633392334
58,6.924010276794434,0.5639777779579163,7.081634044647217,0.43235477805137634
59,6.916001319885254,0.56654953956604,7.058130741119385,0.5262525677680969
60,6.900522232055664,0.5570334196090698,6.907486438751221,0.5828000903129578
61,6.885713577270508,0.5666748285293579,7.335478782653809,0.35385841131210327
62,6.924590110778809,0.559785783290863,6.970566749572754,0.5354613065719604
63,6.906558990478516,0.562510073184967,7.089879989624023,0.532738447189331
64,6.917431831359863,0.5728221535682678,6.992811679840088,0.5571439862251282
65,6.908061981201172,0.5671331286430359,7.086159706115723,0.5049578547477722
66,6.894919395446777,0.5717926025390625,7.080504417419434,0.4815986752510071
67,6.89894437789917,0.570891261100769,7.733005523681641,0.38758060336112976
68,6.899633407592773,0.5757347941398621,7.38239860534668,0.39228111505508423
69,6.864676475524902,0.5787255167961121,7.044016361236572,0.5003888607025146
70,6.868178844451904,0.5753006339073181,7.234409332275391,0.4632200300693512
71,6.89017391204834,0.5761882066726685,7.182899475097656,0.4900818169116974
72,6.889754772186279,0.574332058429718,7.38381814956665,0.40687161684036255
73,6.9088358879089355,0.5643810033798218,7.2565765380859375,0.4481012523174286
74,6.891015529632568,0.5761507749557495,7.202156066894531,0.4479764997959137
75,6.885211944580078,0.5755411386489868,7.1449079513549805,0.4487753212451935
